Date,Time,Reason For Call,Patrol Officer Name/Street,Street/Unit,Unit/Car,Race,Gender,Outcome,Severity
7/7/2020,1207,- MOTOR VEHICLE STOP CITATION - WARNING :,PATROL BRAD SACCO,HANCOCK RD,35,W,F,3,0
7/7/2020,1913,#NAME?,PATROL JOHN J MCCONNELL JR,SIMONDS RD,38,U,M,3,0
7/7/2020,1414,#NAME?,| PATROL BRAD SACCO,SIMONDS RD,35,U,M,5,1
7/7/2020,1947,#NAME?,PATROL JOHN J MCCONNELL JR,SIMONDS RD,38,W,M,3,0
7/6/2020,1700,#NAME?,PATROL JOHN J MCCONNELL JR,NEW ASHFORD RD,38,W,M,4,1
7/3/2020,114,#NAME?,PATROL KEVIN P GARNER,MAIN ST,34,W,F,3,0
7/3/2020,1735,#NAME?,PATROL JOHN J MCCONNELL JR,NEW ASHFORD RD,38,W,F,3,0
7/2/2020,850,#NAME?,PATROL TANIA HERNANDEZ,NORTH ST,36,W,F,3,0
7/2/2020,2315,#NAME?,PATROL KALVIN DZIEDZIAK,NORTH ST,38,W,M,3,0
7/2/2020,1426,#NAME?,PATROL BRAD SACCO,BRIDGES RD,35,W,M,5,1
7/1/2020,1018,#NAME?,CHIEF KYLE J JOHNSON,NORTH HOOSAC RD,33,W,F,3,0
7/1/2020,1342,#NAME?,NA,MAIN ST,34,W,M,3,0
7/1/2020,1418,#NAME?,PATROL SHUAN N WILLIAM,COLE AVE,32,W,M,3,0
6/27/2020,1737,#NAME?,PATROL JOHN J MCCONNELL JR,COLD SPRING RD,38,W,F,3,0
6/27/2020,219,#NAME?,PATROL KEVIN P GARNER,NEW ASHFORD RD,34,W,M,3,0
6/27/2020,2024,#NAME?,PATROL JOHN J MCCONNELL JR,MAIN st?,38,W,M,3,0
6/21/2020,144,~ MOTOR VEHICLE STOP CITATION - WARNING,PATROL KALVIN DZIEDZTAK,COLD SPRING RD,NA,W,M,3,0
6/20/2020,1655,#NAME?,PATROL SHUAN N WILLIAM,BRIDGES RD,32,W,F,3,0
6/17/2020,1947,#NAME?,PATROL JOHN J MCCONNELL JR,SPRING ST,32,W,M,4,1
6/10/2020,1940,#NAME?,PATROL JOHN J MCCONNELL JR,BRIDGES RD,38,W,F,3,0
6/7/2020,1903,#NAME?,PATROL KEVIN P GARNER,HANCOCK RD,34,W,M,3,0
6/6/2020,1955,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,W,M,5,1
6/4/2020,1807,#NAME?,PATROL JOHN J MCCONNELL JR,NEW ASHFORD RD,38,W,M,4,1
6/3/2020,1720,#NAME?,SERGEANT DAVID R LEMIEUX,COLD SPRING RD,36,W,M,3,0
6/3/2020,1757,#NAME?,NA,WATER ST,38,W,M,3,0
6/2/2020,2022,#NAME?,PATROL KEVIN P GARNER,GREEN RIVER RD,34,W,F,3,0
5/31/2020,1750,#NAME?,PATROL JOHN J MCCONNELL JR,NA,38,W,M,3,0
5/30/2020,1812,#NAME?,PATROL JOHN J MCCONNELL JR,MAIN sT,38,W,M,4,1
5/27/2020,2020,#NAME?,PATROL KEVIN P GARNER,HANCOCK RD,34,A,M,3,0
5/24/2020,1724,#NAME?,PATROL SHUAN N WILLIAM,MAIN ST,32,W,F,3,0
5/24/2020,1540,#NAME?,PATROL SHUAN N WILLIAM,NORTH HOOSAC RD,32,W,M,3,0
5/23/2020,1611,#NAME?,PATROL JOHN J MCCONNELL JR,SAND SPRINGS RD,38,W,F,4,1
5/23/2020,1543,#NAME?,PATROL DAVID JENNINGS D,MAIN ST,30,W,M,4,1
5/23/2020,2003,#NAME?,NA,NORTH HOOSAC RD,38,W,M,3,0
5/23/2020,2028,#NAME?,PATROL KEVIN P GARNER |,HANCOCK RD,34,W,M,3,0
5/15/2020,1528,#NAME?,PATROL BRAD SACCO,NORTH HOOSAC RD,35,U,M,3,0
5/11/2020,900,~ MOTOR VEHICLE STOP CITATION - CIVIL,LIEUTENANT MICHAEL J ZIEMBA Jr,MAIN ST,37K,W,M,4,1
5/7/2020,1107,#NAME?,CHIEF KYLE J JOHNSON,GREEN RIVER RD,33,U,M,3,0
4/23/2020,1120,#NAME?,CHIEF KYLE J JOHNSON .,COLD SPRING RD |,33 |,W,F,4,1
4/20/2020,840,#NAME?,LIEUTENANT MICHAEL J ZIEMBA Jr,MAIN ST,37K,B,F,4,1
3/15/2020,1544,#NAME?,PATROL KALVIN DZIEDZIAK,PARK ST,34,B,F,5,1
3/15/2020,113,#NAME?,PATROL KEVIN P GARNER,NEW ASHFORD RD,34,W,M,4,1
